termo_pesquisa,id,titulo,preco,link,vendedor,condicao,disponibilidade,vendidos
apple tv,MLA1447987851,Apple Tv A1427 Estándar 3.a Generación Fhd,70000.0,https://articulo.mercadolibre.com.ar/MLA-1447987851-apple-tv-a1427-estandar-3a-generacion-fhd-_JM,16775872,used,1,
apple tv,MLA1460688751,Apple Tv Hd 4.a Generación 2015 A1625 / 32 Gb,180000.0,https://articulo.mercadolibre.com.ar/MLA-1460688751-apple-tv-hd-4a-generacion-2015-a1625-32-gb-_JM,44339935,used,1,
apple tv,MLA1399520644,Apple Tv 4k 32gb A1842 Negro (usado),400000.0,https://articulo.mercadolibre.com.ar/MLA-1399520644-apple-tv-4k-32gb-a1842-negro-usado-_JM,246369034,used,1,
apple tv,MLA1460121355,Apple Tv 4k (wifi) A2737 De Voz 3.a Generación 64gb,310000.0,https://articulo.mercadolibre.com.ar/MLA-1460121355-apple-tv-4k-wifi-a2737-de-voz-3a-generacion-64gb-_JM,614420282,used,1,
apple tv,MLA1474178905,Apple Tv 4k,50000.0,https://articulo.mercadolibre.com.ar/MLA-1474178905-apple-tv-4k-_JM,480073619,used,1,
apple tv,MLA1938425710,Apple Tv 3,38000.0,https://articulo.mercadolibre.com.ar/MLA-1938425710-apple-tv-3-_JM,25327485,used,1,
apple tv,MLA1877356464,Apple Tv 2 3.ª Gen. Full Hd 1gb Ram 8gb.,45000.0,https://articulo.mercadolibre.com.ar/MLA-1877356464-apple-tv-2-3-gen-full-hd-1gb-ram-8gb-_JM,180486592,used,1,
apple tv,MLA1911254292,Apple Tv 4k (wifi + Ethernet) A2843 4k 128gb Negro,400000.0,https://articulo.mercadolibre.com.ar/MLA-1911254292-apple-tv-4k-wifi-ethernet-a2843-4k-128gb-negro-_JM,77667444,used,1,
apple tv,MLA1781884668, Apple Tv A1427 2.ª Generación ,37081.98,https://articulo.mercadolibre.com.ar/MLA-1781884668-apple-tv-a1427-2-generacion-_JM,70102362,used,1,
apple tv,MLA1990674538,Apple Tv 3.a Generación A1427,49000.0,https://articulo.mercadolibre.com.ar/MLA-1990674538-apple-tv-3a-generacion-a1427-_JM,21778171,used,1,
apple tv,MLA1470131529,Apple Tv Hd A1625 De Voz 4.a Gen 2015 Full Hd 32gb,150000.0,https://articulo.mercadolibre.com.ar/MLA-1470131529-apple-tv-hd-a1625-de-voz-4a-gen-2015-full-hd-32gb-_JM,13779625,used,1,
apple tv,MLA1475666907,Apple Tv  Full Hd 32gb,250000.0,https://articulo.mercadolibre.com.ar/MLA-1475666907-apple-tv-full-hd-32gb-_JM,83925369,used,1,
apple tv,MLA1443682603,Apple Tv 2ª Generaciónhd 8gb Negro Con 256mb De Memoria Ram,60000.0,https://articulo.mercadolibre.com.ar/MLA-1443682603-apple-tv-2-generacionhd-8gb-negro-con-256mb-de-memoria-ram-_JM,120708889,used,1,
apple tv,MLA1972159008,Apple Tv A1427 ( Control No Funciona),20000.0,https://articulo.mercadolibre.com.ar/MLA-1972159008-apple-tv-a1427-control-no-funciona-_JM,33446855,used,1,
